R;G;B
31;100;115
33;101;117
33;103;119
33;104;120
33;104;120
34;105;120
34;105;120
33;105;121
35;107;122
35;107;122
35;107;122
35;107;123
34;106;122
35;107;123
34;107;123
35;107;122
35;106;122
34;106;122
34;105;121
34;106;121
34;106;121
34;106;121
34;106;122
34;105;121
34;105;121
33;105;121
34;105;121
34;105;121
34;106;122
34;105;121
33;105;121
34;105;121
34;106;121
35;106;122
34;105;121
34;106;121
34;106;122
34;106;121
35;107;122
35;106;122
35;106;122
35;106;122
34;107;122
34;106;121
34;106;122
35;107;122
35;107;123
34;107;122
35;108;123
34;108;123
34;108;123
34;108;123
35;109;124
35;109;124
35;111;125
36;112;126
36;113;127
36;114;128
36;114;129
37;115;130
38;116;131
37;116;130
37;115;131
37;116;131
38;116;131
37;115;130
37;114;130
36;114;129
36;113;128
37;113;129
36;113;128
36;112;128
35;111;127
36;112;128
36;112;127
36;114;129
37;116;131
38;118;133
38;119;134
39;120;135
38;120;135
37;118;133
38;119;134
37;118;133
37;117;134
39;122;138
40;124;141
39;122;139
39;121;136
38;117;133
37;116;132
38;117;133
37;118;134
38;117;132
36;113;130
35;112;128
37;113;130
37;114;130
36;113;128
37;116;132
37;115;131
37;115;132
37;117;134
38;121;136
37;118;136
38;119;136
38;118;135
37;119;136
38;117;134
36;114;131
35;111;128
36;112;129
37;116;132
37;118;134
38;118;135
38;119;135
37;118;135
38;118;135
37;117;135
38;118;135
39;120;137
37;118;135
37;115;132
36;115;131
37;116;133
36;117;135
38;120;138
39;124;140
40;124;141
39;122;140
39;121;137
38;120;137
37;117;134
37;116;133
37;115;131
35;110;127
35;109;125
34;107;124
35;110;126
36;115;132
39;119;136
37;118;134
36;116;132
37;117;132
37;116;131
37;116;131
37;118;132
38;118;134
38;118;134
37;117;132
36;115;130
37;114;130
37;115;132
38;118;135
39;123;139
38;120;135
35;107;123
34;106;122
34;106;121
33;107;123
37;115;129
38;118;134
36;116;131
38;115;130
37;113;129
35;111;128
37;115;131
38;119;135
39;120;136
38;120;136
38;120;136
38;117;132
36;114;129
37;114;130
37;116;133
37;116;133
37;115;132
37;118;134
37;118;134
38;118;135
38;120;137
37;118;135
37;116;132
37;115;131
37;114;131
36;114;131
38;117;133
39;120;135
36;113;130
36;113;130
36;112;128
37;116;132
36;112;129
33;104;121
35;108;124
36;112;129
36;117;133
38;118;134
38;116;132
37;114;131
36;118;134
38;116;132
38;116;133
38;119;135
38;117;133
34;113;129
37;115;132
36;113;129
35;111;129
35;112;130
35;112;130
33;107;125
33;106;125
35;108;127
36;113;131
35;112;131
34;112;128
36;113;131
37;114;133
37;115;133
35;113;130
36;113;131
37;117;134
37;117;134
37;115;132
35;110;128
34;108;126
36;111;129
35;113;130
35;113;129
35;111;128
36;113;130
36;114;131
37;117;135
37;118;135
37;117;136
37;116;134
37;116;134
37;117;134
38;117;134
37;115;132
36;112;130
35;112;130
36;113;132
35;114;131
37;117;134
36;116;133
37;117;136
38;119;137
38;119;137
37;119;137
37;120;138
38;120;137
37;118;136
39;119;137
37;119;135
38;119;137
35;112;130
37;112;130
35;111;129
36;115;131
37;117;135
35;114;131
37;118;135
35;114;133
37;114;131
36;113;131
37;115;133
37;116;134
35;111;128
35;108;127
34;107;126
35;112;132
37;113;132
36;112;129
35;111;130
36;113;130
36;112;130
34;108;126
35;109;127
34;108;125
34;108;125
34;109;125
34;110;127
36;115;132
36;115;131
37;113;128
35;111;126
35;111;126
35;110;125
32;107;123
34;109;125
35;109;126
35;110;127
34;110;127
35;113;129
37;113;129
36;113;130
36;113;130
36;113;130
35;111;129
36;113;129
35;109;125
35;107;125
34;107;125
36;112;129
36;112;130
37;114;132
37;114;133
36;113;130
36;112;129
35;111;128
35;109;127
35;109;127
36;110;129
36;113;132
37;114;133
36;115;132
36;113;131
35;112;131
35;113;131
36;112;130
36;111;130
36;111;130
36;110;130
35;110;129
36;110;129
34;108;127
35;110;129
35;111;130
36;111;130
35;113;131
36;114;133
36;115;134
36;114;133
36;115;134
37;115;134
37;116;135
36;116;134
37;115;134
36;114;133
36;113;131
35;110;128
34;108;127
34;109;127
35;110;127
34;107;125
34;106;124
34;106;124
34;105;123
34;106;123
36;109;126
36;108;126
35;108;126
35;109;127
35;109;127
35;110;128
36;113;130
36;114;131
37;115;132
38;117;135
37;118;135
37;116;134
37;115;133
37;115;134
35;113;132
35;112;130
36;113;130
36;112;130
36;112;130
34;109;128
35;109;127
33;107;125
34;107;125
33;106;123
33;107;123
34;108;124
35;109;126
34;110;126
34;108;126
34;109;125
34;108;124
35;109;125
35;109;125
34;109;125
36;111;126
36;111;126
34;108;124
34;107;123
34;105;121
34;105;121
34;105;120
33;103;120
33;103;119
34;105;121
35;109;125
33;107;124
34;108;124
33;106;122
35;106;122
34;106;123
33;105;122
34;107;123
35;110;125
34;110;125
35;109;126
34;107;122
34;106;121
34;103;120
33;103;120
33;104;120
33;104;120
34;107;123
34;109;124
34;108;125
35;107;124
33;106;122
34;106;122
34;107;122
34;108;124
35;109;125
34;108;124
34;107;124
34;107;124
33;104;120
33;105;120
32;101;117
31;100;117
35;111;126
35;111;125
34;110;125
35;111;128
35;111;127
36;111;128
35;108;126
33;104;122
34;105;122
34;106;123
33;106;123
34;110;127
35;111;129
35;108;126
34;107;123
33;107;123
36;112;128
36;113;130
35;109;127
34;108;126
36;110;127
35;110;127
36;111;128
35;111;127
34;108;125
35;110;128
35;111;129
35;109;126
33;107;123
34;107;123
35;108;125
35;108;125
35;109;126
35;111;127
35;111;127
35;110;127
34;109;126
34;108;125
35;109;126
35;110;126
36;110;126
35;110;127
35;110;128
34;110;127
34;112;128
36;112;128
35;111;127
35;109;126
34;108;125
34;108;124
33;106;122
35;108;125
36;110;126
35;111;128
35;109;127
34;109;126
35;109;125
34;107;124
34;106;123
34;108;124
34;109;126
36;111;129
37;115;131
36;113;130
35;112;128
34;111;127
34;110;127
34;108;125
34;106;123
33;103;121
33;104;121
34;108;126
36;114;131
36;113;129
36;113;130
36;114;132
37;118;134
38;118;134
35;109;126
33;107;123
33;106;122
34;108;124
35;111;127
36;111;129
37;112;130
34;108;125
34;108;125
35;112;128
37;115;130
35;109;124
34;108;123
33;106;122
35;107;123
33;105;121
33;105;121
35;108;125
35;108;126
34;107;124
35;109;125
36;113;128
35;112;127
35;112;128
34;109;124
35;109;125
34;107;122
34;105;121
34;105;121
34;106;122
34;108;124
35;111;126
35;109;125
35;109;124
34;107;122
34;107;122
36;110;125
35;110;127
35;111;128
34;108;125
34;107;123
34;107;123
35;107;123
34;107;123
36;111;128
36;113;130
36;112;128
36;111;127
36;112;130
38;118;133
36;113;129
35;111;126
36;111;127
34;110;125
35;113;128
36;114;129
35;112;129
37;114;131
36;114;131
36;113;129
35;112;128
37;113;129
36;112;127
35;113;128
38;118;133
38;120;135
37;118;133
34;110;125
35;110;125
35;110;124
36;111;126
36;113;127
36;112;128
34;109;124
35;110;125
34;106;122
34;106;122
34;106;123
35;110;126
35;111;127
34;109;124
34;108;124
34;109;124
34;108;123
34;108;124
35;109;125
34;108;124
35;110;125
35;109;125
36;110;125
35;110;124
35;108;123
35;108;124
36;110;127
35;109;126
35;109;126
34;106;123
34;105;122
34;104;121
31;99;114
31;97;113
30;93;109
29;92;108
29;92;107
29;93;109
29;93;109
30;96;112
31;98;114
30;99;115
32;100;116
31;99;115
31;98;115
31;98;114
31;99;115
31;100;115
32;101;118
32;101;117
32;100;117
31;98;113
30;96;112
30;96;112
32;101;117
32;101;118
31;99;114
32;98;113
31;97;113
30;95;110
31;95;110
29;94;109
31;97;112
31;98;113
31;98;113
32;97;112
31;96;111
30;95;111
32;100;115
31;100;115
32;101;117
32;101;118
31;100;116
30;99;114
31;99;114
31;99;113
32;99;114
32;99;114
32;99;114
31;98;113
33;99;114
32;100;115
32;100;116
33;100;116
33;100;116
32;100;116
32;100;116
32;100;116
32;99;115
31;98;114
30;96;112
31;97;112
31;96;111
30;94;110
31;95;111
30;94;109
30;94;109
30;94;109
30;94;109
31;96;112
31;97;113
31;97;112
31;97;113
31;97;113
31;97;113
31;97;112
29;93;107
30;94;109
29;93;108
29;93;108
29;92;108
30;93;109
30;94;110
31;96;111
31;97;112
32;99;114
32;98;113
32;98;113
32;100;115
32;100;116
31;100;115
33;101;117
33;103;118
34;104;119
34;104;120
34;105;121
35;109;125
35;109;125
35;109;126
35;110;126
36;111;128
35;110;126
35;110;126
35;111;128
36;112;128
36;111;128
35;110;126
36;110;126
35;110;126
36;110;127
34;109;124
36;111;126
36;112;126
36;114;129
36;113;128
36;113;128
37;115;131
36;114;130
37;115;132
36;114;130
37;114;131
37;114;130
37;113;130
37;112;128
36;111;127
37;112;127
36;112;127
34;110;126
35;110;126
35;111;127
36;112;128
36;112;128
37;113;129
36;113;128
35;110;127
36;111;127
36;111;127
36;111;128
35;111;128
36;112;128
36;113;129
34;109;125
34;109;125
35;109;125
34;108;125
36;109;126
36;109;126
37;111;128
35;107;123
35;107;123
35;107;123
35;109;124
34;107;122
34;106;122
34;105;121
34;107;122
35;107;123
35;107;123
35;109;125
36;110;125
35;110;126
35;110;126
35;111;126
35;111;126
36;111;128
36;111;128
36;111;127
36;111;126
35;112;127
36;112;128
36;113;128
36;112;128
35;112;127
36;112;128
36;112;129
35;111;127
35;111;127
35;110;126
34;104;121
32;103;119
32;103;119
33;105;120
34;106;121
35;107;123
34;107;123
34;107;123
36;110;126
36;110;126
36;112;128
36;112;128
36;111;126
35;110;126
35;109;125
34;109;124
34;106;123
36;109;126
34;107;124
34;107;124
34;107;122
34;108;123
