R;G;B
38;115;35
40;123;36
40;123;35
41;125;37
40;124;36
40;125;36
40;125;36
40;125;36
40;125;36
40;125;36
41;124;37
41;125;37
41;126;37
43;128;39
42;128;38
42;130;38
41;127;37
39;123;37
39;120;36
38;120;35
39;122;36
40;125;37
39;122;36
39;120;35
39;120;36
39;118;36
39;118;36
40;120;37
41;125;38
41;126;37
41;126;38
42;129;39
41;128;39
41;127;38
41;126;38
41;126;39
41;126;38
40;124;37
40;124;37
40;124;38
40;123;38
40;123;37
41;124;37
41;125;37
42;127;38
42;128;39
42;127;38
43;128;39
43;129;39
43;130;39
42;130;38
41;130;37
41;130;37
41;130;37
40;129;36
41;128;38
41;127;37
40;127;36
42;128;38
42;130;37
42;130;38
42;130;38
43;130;38
41;130;37
41;128;37
40;127;38
39;126;38
41;126;38
41;126;39
43;128;39
43;129;39
43;130;39
43;131;39
44;132;39
43;131;38
43;131;38
43;131;38
41;130;37
42;130;38
42;129;39
42;129;39
41;128;38
42;130;38
41;130;38
41;129;37
43;133;40
43;134;40
44;135;41
43;134;39
42;134;38
43;134;38
43;135;38
43;135;39
43;134;40
44;134;41
43;134;39
43;135;39
44;135;39
44;136;41
45;139;41
44;138;39
42;134;38
44;136;39
45;138;41
45;137;42
44;137;40
43;137;38
44;139;40
45;137;40
44;137;41
45;138;40
43;137;38
44;138;39
44;137;41
44;139;41
44;138;39
44;136;39
43;134;39
43;136;40
46;139;41
46;138;41
43;133;38
42;132;38
42;133;39
44;134;39
44;135;40
44;135;40
43;136;40
44;136;40
44;136;41
42;133;38
42;132;39
42;130;40
42;130;39
44;131;40
43;131;40
42;131;39
43;132;38
42;132;38
42;133;37
43;133;38
42;131;37
41;131;37
42;129;39
42;130;39
43;130;38
42;129;39
40;128;37
41;128;37
42;127;38
41;129;39
43;131;39
44;133;41
44;134;41
43;133;39
43;132;39
42;131;39
41;130;38
42;130;38
43;128;39
41;127;38
41;127;37
42;128;38
42;127;39
41;124;38
38;121;37
38;120;36
37;121;33
40;123;37
40;124;37
41;125;37
40;126;37
40;126;37
40;126;37
41;128;38
41;129;38
41;130;37
41;130;38
42;130;39
42;129;39
40;127;37
40;127;37
40;127;37
41;128;38
40;126;37
39;125;37
40;126;37
41;127;40
41;127;39
43;131;39
43;131;39
44;132;40
44;133;40
44;133;40
44;134;40
43;133;40
43;132;40
42;130;40
41;129;40
41;128;39
41;126;38
40;125;37
39;126;36
41;129;37
40;126;38
40;127;38
41;126;38
41;125;37
40;125;38
40;126;38
40;125;37
40;126;37
40;127;38
39;126;36
40;126;36
41;125;37
41;123;39
40;123;37
39;123;36
40;125;36
41;127;38
41;126;38
40;124;37
39;124;37
40;126;37
39;126;36
39;127;36
41;128;37
40;128;37
42;129;38
42;128;39
42;127;38
42;127;40
41;126;39
40;127;38
40;128;37
41;129;38
42;128;38
42;128;39
40;127;38
40;127;38
40;129;38
41;131;38
43;131;38
44;131;39
44;132;40
44;132;42
44;134;41
43;134;41
44;134;41
43;135;40
42;134;39
43;133;39
42;133;38
43;133;38
43;133;39
43;132;40
42;133;39
43;134;38
44;134;39
42;132;40
42;134;38
43;136;38
45;133;40
41;131;40
41;132;38
43;134;38
