R;G;B
40;38;33
39;38;33
39;38;33
39;37;32
40;38;33
40;38;33
40;38;33
39;37;32
39;38;33
40;38;32
40;38;33
40;38;32
40;38;33
40;38;32
40;37;32
40;38;32
39;37;32
40;38;33
40;38;32
40;38;33
40;38;33
39;37;32
40;38;33
40;38;32
40;38;33
40;38;33
40;38;33
39;37;32
40;38;33
39;37;33
39;38;32
40;38;32
40;38;33
40;38;32
40;37;33
39;38;33
40;38;33
40;38;33
39;37;32
39;38;32
39;38;33
40;38;33
40;38;33
39;38;32
39;37;33
39;37;32
39;37;31
40;38;33
40;38;33
40;38;32
39;37;32
40;38;32
39;37;32
38;37;32
39;37;33
40;38;32
39;38;32
40;38;33
39;37;32
40;38;33
40;38;33
39;38;32
40;38;33
40;38;32
40;37;33
40;38;33
40;38;33
40;38;32
39;38;33
40;38;33
39;37;32
40;38;32
39;38;32
39;37;32
40;38;33
39;38;32
39;37;31
39;38;33
40;38;32
39;37;32
39;37;32
39;38;33
39;37;32
39;37;32
39;38;33
39;37;32
39;37;32
40;38;33
39;37;32
40;37;32
39;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
39;38;32
40;38;32
40;38;32
40;38;33
39;38;33
39;37;32
40;38;33
40;38;33
39;37;32
40;37;33
40;37;33
39;38;32
40;38;32
40;38;33
39;38;33
38;37;31
40;38;33
39;37;32
40;38;33
39;37;32
40;38;33
40;38;32
39;38;32
39;37;32
39;37;32
40;38;32
40;38;32
39;37;33
39;37;32
39;37;32
40;38;33
40;38;33
39;38;32
39;37;32
40;38;33
38;36;31
40;37;32
39;38;33
40;37;32
39;37;32
39;37;32
39;38;33
39;37;32
40;37;32
39;38;32
39;38;33
40;38;33
39;38;32
39;38;33
39;38;33
39;37;32
39;37;33
40;38;33
39;38;33
40;38;33
40;38;33
40;38;32
40;38;33
39;37;32
40;38;32
40;38;33
39;38;33
39;38;32
39;37;32
39;37;32
40;38;32
39;37;33
39;37;32
40;38;33
39;38;33
39;38;33
39;37;33
39;37;32
40;38;33
39;38;32
39;38;33
40;38;33
39;38;32
39;37;32
40;38;33
39;38;32
39;37;32
39;38;33
39;37;32
40;38;33
40;38;33
39;38;32
39;38;32
40;38;33
40;38;32
39;37;32
39;37;32
38;36;31
39;38;33
40;38;33
40;38;32
39;38;33
40;38;33
39;38;32
40;38;32
40;38;33
40;37;32
40;37;32
40;37;33
40;37;33
39;37;32
40;38;33
40;38;32
40;38;32
40;38;33
40;38;32
39;38;33
39;38;33
39;38;33
40;38;33
39;38;33
40;38;33
39;37;32
40;38;33
39;38;33
40;37;32
39;37;32
39;38;33
39;38;32
39;38;33
39;38;32
40;38;32
39;38;32
39;37;32
40;38;32
40;38;33
39;38;32
39;38;33
40;38;33
39;37;32
40;38;33
40;37;33
39;37;32
39;38;33
40;38;32
39;38;33
40;37;32
40;37;32
39;38;33
39;37;32
40;38;33
38;37;32
40;38;33
39;38;33
40;37;32
39;38;33
40;38;32
40;38;33
40;37;33
39;38;33
39;38;32
40;37;33
40;38;33
40;38;32
40;38;32
40;38;32
39;37;32
40;37;33
40;38;33
39;37;32
39;38;32
39;38;33
40;38;32
40;38;33
39;38;32
40;37;32
39;37;32
39;37;32
39;38;33
40;38;33
39;37;32
40;38;32
40;38;32
39;37;32
39;38;32
39;37;32
40;38;33
39;37;32
39;38;32
39;38;32
40;38;33
39;38;32
39;37;33
40;38;33
39;37;31
40;38;32
40;38;33
40;37;32
40;38;33
40;38;32
40;38;33
40;38;33
40;38;33
40;38;33
39;38;32
39;37;32
40;38;33
39;38;33
40;38;33
38;37;32
39;38;32
40;38;33
40;38;32
39;38;33
38;37;31
40;38;32
40;38;33
40;37;32
39;37;32
39;37;33
39;37;32
39;38;32
40;38;33
39;38;32
40;38;33
39;38;32
39;37;32
39;37;32
40;38;33
39;38;32
39;37;32
39;37;32
39;37;32
40;38;33
40;38;33
38;37;31
39;38;32
40;38;33
39;38;32
40;38;33
39;38;33
40;38;32
39;37;32
40;38;32
40;38;33
39;37;32
39;38;33
39;37;32
39;38;33
39;38;32
39;38;32
40;38;33
39;37;33
38;37;32
40;38;32
40;38;33
40;38;32
39;37;32
39;38;32
39;38;32
39;37;32
40;38;33
39;38;32
39;37;32
40;37;33
39;37;32
40;37;33
39;37;33
40;38;33
39;37;31
40;37;32
40;38;32
40;38;33
40;38;33
39;38;33
38;37;32
40;38;33
39;37;33
40;38;33
39;38;33
39;37;32
39;36;31
39;37;32
40;38;32
39;37;32
39;37;32
40;38;33
40;37;33
40;38;32
39;37;32
39;38;32
40;38;33
40;38;33
39;38;33
39;37;32
39;37;32
39;37;32
40;37;33
40;37;33
40;38;33
39;37;32
39;37;32
40;38;32
39;37;32
39;37;32
40;38;33
39;37;33
40;37;33
39;37;32
40;38;33
39;37;32
39;37;32
40;38;33
40;38;32
39;38;32
40;38;32
40;37;32
39;37;32
39;38;33
39;37;32
39;37;32
39;37;32
39;38;33
39;38;32
40;38;33
39;38;33
39;37;32
40;38;33
39;38;32
39;38;33
39;37;32
39;38;32
39;38;33
40;38;33
40;38;32
40;38;33
40;37;32
40;38;32
40;38;32
40;38;33
40;38;32
39;37;32
39;38;32
40;38;33
39;38;32
39;37;32
40;38;33
39;38;32
39;37;32
40;37;32
40;38;33
39;37;32
40;38;33
40;37;33
40;38;33
40;37;33
39;37;32
39;37;32
40;38;33
40;38;33
39;38;33
40;37;33
39;37;32
39;37;32
40;38;33
39;38;33
39;37;32
40;38;33
40;38;32
40;38;32
39;38;32
39;38;32
39;37;32
40;38;33
39;38;33
39;38;33
39;37;32
39;37;32
39;38;33
39;37;32
39;36;31
40;38;32
40;38;33
40;38;33
40;38;33
39;38;32
39;37;32
39;38;33
40;38;33
40;37;32
40;38;33
40;37;33
40;38;33
40;38;33
38;36;31
39;37;32
39;37;32
39;38;32
39;38;33
39;38;32
39;38;32
40;38;32
39;38;33
40;38;33
40;37;32
40;38;33
39;37;32
39;38;33
39;37;32
39;37;32
39;38;32
40;38;32
40;38;32
39;37;32
39;38;33
39;37;32
40;37;33
40;38;33
39;38;33
39;38;33
39;38;33
40;38;32
39;37;32
40;37;32
39;37;32
39;37;32
39;38;32
39;38;32
39;37;32
40;38;33
