R;G;B
47;15;13
47;13;12
47;14;12
47;14;12
47;14;12
47;14;12
46;13;12
48;14;13
47;13;12
46;13;12
47;14;12
47;14;12
47;14;12
46;13;11
46;13;11
47;14;12
47;14;12
47;14;12
47;14;12
47;13;12
46;13;12
47;14;13
47;14;13
48;14;13
47;13;11
48;14;12
48;14;13
47;14;12
47;14;12
46;13;11
47;14;12
47;14;12
47;14;13
47;13;12
48;14;13
47;14;13
47;14;12
47;13;12
48;14;13
48;14;12
46;13;12
47;14;12
46;13;12
47;14;12
46;12;11
48;14;12
47;14;12
46;13;12
47;14;13
47;14;12
46;13;12
46;13;12
47;14;13
47;14;12
47;14;12
47;14;13
47;15;13
46;13;12
47;14;13
47;14;13
48;14;13
47;14;12
47;14;13
46;13;11
47;14;13
47;14;13
47;14;13
47;14;12
47;14;12
47;14;12
47;14;12
47;14;13
46;14;12
47;14;12
47;14;13
47;15;13
48;15;13
48;15;12
48;15;12
47;15;12
48;14;12
46;14;11
47;14;12
46;14;12
45;13;11
45;14;11
45;14;11
46;14;11
47;14;12
47;14;11
48;15;13
48;15;13
49;15;12
50;16;13
49;15;13
49;15;13
50;16;14
50;16;13
50;17;14
51;17;13
50;16;12
51;17;13
51;16;12
51;16;12
51;16;14
53;17;14
52;17;13
52;17;12
52;16;12
51;16;11
51;16;11
51;16;11
53;17;12
56;19;14
55;18;13
54;17;13
55;16;15
56;18;15
55;18;13
54;17;13
55;18;15
52;15;11
54;16;14
56;20;15
56;20;14
55;18;12
55;18;13
56;18;12
58;20;13
58;20;14
58;19;15
57;20;14
56;19;13
57;20;15
57;21;15
55;18;14
54;17;13
56;19;15
57;19;15
56;19;13
57;18;13
59;19;15
58;19;14
56;17;13
54;16;12
56;19;15
57;21;15
57;20;14
55;17;12
56;17;13
59;20;15
58;21;14
56;18;12
55;17;12
54;17;13
55;17;14
54;18;15
52;16;13
52;14;12
53;18;14
55;20;15
52;17;12
53;16;14
52;15;13
54;18;12
55;18;13
55;16;14
54;19;11
55;19;13
54;15;14
57;18;15
54;18;12
54;18;14
56;19;15
55;18;12
54;17;12
55;18;13
54;16;12
55;19;13
57;20;15
54;18;14
53;17;12
53;17;12
56;18;14
56;18;15
54;17;15
52;18;11
51;18;11
51;17;12
52;17;13
51;16;13
50;16;12
50;16;11
50;14;11
50;13;11
53;17;12
53;17;12
54;20;13
52;17;12
51;16;11
50;16;11
51;15;12
50;14;12
50;17;11
50;16;12
53;18;13
54;18;15
53;17;14
52;18;12
52;17;13
51;15;12
50;15;12
50;15;11
50;16;11
50;17;11
51;17;13
52;17;13
51;16;13
51;17;13
52;18;12
52;15;13
50;14;12
50;16;12
50;16;11
51;15;12
51;15;12
50;16;13
51;17;12
51;16;12
50;15;12
50;15;12
50;18;11
51;16;12
50;14;12
50;15;12
50;17;11
51;18;12
52;16;13
51;16;14
50;17;12
52;18;13
51;15;13
50;16;11
51;16;12
51;16;12
51;16;13
50;15;12
50;15;12
50;16;11
51;16;12
51;17;11
50;15;12
50;15;13
50;16;12
50;15;11
50;17;11
50;18;11
50;17;10
52;18;13
50;15;11
49;15;11
50;15;10
50;17;12
50;16;11
53;19;12
53;16;15
51;17;12
52;16;13
50;16;12
51;18;12
50;16;13
50;16;13
50;16;12
50;15;11
50;16;12
50;15;12
51;18;13
50;17;12
50;15;12
54;18;15
53;18;14
51;16;14
50;17;13
50;16;11
52;17;12
51;15;12
48;14;10
49;14;11
49;15;10
50;15;12
49;14;12
49;15;11
49;15;9
50;17;10
51;17;11
51;17;11
51;17;12
51;17;12
51;17;13
51;16;13
50;15;13
50;14;12
51;16;12
51;17;12
52;18;13
54;19;14
53;18;13
53;18;14
54;17;14
51;18;11
51;18;10
52;17;14
51;17;13
51;16;12
52;17;13
52;17;13
51;16;13
51;16;12
51;16;13
52;16;13
50;15;13
50;16;12
51;17;11
51;17;11
52;17;13
52;17;14
51;17;13
52;17;13
53;18;13
54;19;15
54;19;14
55;19;15
55;20;16
56;20;16
55;18;14
56;19;16
56;18;16
55;18;15
55;18;16
56;18;16
56;18;16
55;17;15
56;18;15
54;17;14
57;19;16
57;20;16
56;20;16
57;20;16
57;20;15
56;20;15
56;21;15
56;20;14
56;20;14
56;20;13
56;20;13
55;19;13
55;19;12
54;18;12
53;17;11
52;17;11
51;15;11
52;15;12
53;15;13
52;15;13
52;15;13
54;15;14
54;16;13
55;16;13
55;17;14
54;17;12
55;18;13
53;18;12
54;19;13
53;18;12
52;17;11
53;18;12
53;17;11
53;17;11
54;19;12
54;19;12
53;19;12
54;17;14
56;18;15
56;18;13
56;18;13
57;19;15
58;20;14
54;18;12
54;17;12
56;18;15
55;19;13
54;18;13
55;19;13
55;19;14
55;18;14
54;18;13
54;17;14
56;18;15
55;19;13
55;19;13
54;17;13
57;18;15
55;20;12
54;19;11
54;16;14
55;18;13
54;17;13
55;18;13
55;17;13
53;17;12
53;16;13
55;18;14
55;19;13
57;17;14
57;19;13
54;18;12
55;18;13
54;18;13
56;17;12
55;17;14
57;20;15
55;17;14
55;18;15
55;17;12
55;17;14
53;16;14
56;19;13
57;19;15
55;19;13
55;20;12
57;21;14
53;19;10
52;17;11
51;15;12
53;16;13
54;19;14
51;15;14
53;19;12
51;17;12
53;16;13
54;20;15
49;12;10
53;15;12
50;15;12
50;15;12
51;18;13
51;19;13
51;16;14
53;17;15
52;18;11
52;18;12
51;16;13
52;17;13
50;17;10
50;18;11
51;19;12
51;18;12
50;18;11
50;17;11
50;17;10
50;17;11
50;17;12
51;17;13
51;16;14
50;16;13
48;14;11
49;14;11
49;15;12
50;17;13
51;17;13
49;14;10
49;14;9
51;17;10
51;18;11
53;19;14
54;19;15
52;17;14
50;15;13
48;14;11
47;13;10
48;14;9
49;17;11
50;17;13
50;16;13
49;14;12
49;14;11
48;14;10
49;15;10
51;17;12
52;17;13
52;17;13
50;15;12
50;16;12
50;16;12
50;17;11
51;18;13
51;16;12
51;16;11
50;17;11
51;17;12
48;14;11
48;17;12
48;16;12
46;14;11
49;16;13
49;16;11
50;14;12
50;14;12
50;17;11
52;17;12
53;18;13
53;17;13
51;16;11
52;18;12
53;17;13
52;17;12
50;17;13
50;16;12
49;15;11
50;16;11
50;14;12
49;16;13
48;15;12
48;16;11
48;15;11
48;16;11
49;15;12
49;15;12
48;15;12
47;13;11
50;17;11
50;16;12
50;16;13
50;16;11
51;17;11
52;16;11
51;16;12
51;17;11
52;18;12
52;18;11
51;17;11
52;17;12
52;17;12
52;17;11
52;18;11
53;19;12
54;18;11
55;19;11
55;20;12
55;20;12
56;21;13
57;20;14
57;19;14
55;17;14
53;17;11
54;17;12
54;17;11
54;16;11
54;17;12
54;16;13
54;16;13
54;17;13
52;16;12
52;16;11
51;16;11
52;17;11
52;16;10
53;16;11
53;16;11
53;17;11
53;18;12
53;18;12
53;19;12
54;20;12
55;20;13
53;17;13
53;17;13
53;17;13
53;18;13
56;20;14
56;19;14
55;18;14
54;17;13
55;18;14
55;18;13
56;18;13
56;17;14
56;17;15
53;16;14
52;19;12
53;18;12
54;18;15
52;17;13
53;16;15
54;17;15
54;15;13
54;16;13
54;17;14
55;17;13
55;17;12
55;17;13
56;18;13
56;18;13
56;18;13
57;18;14
55;18;13
56;18;13
57;18;15
57;17;16
56;17;15
53;17;12
53;18;12
53;18;13
52;18;12
53;19;13
55;17;13
55;17;13
56;18;14
56;18;15
56;16;16
56;16;16
56;16;16
57;17;15
56;17;14
56;16;15
57;17;15
58;17;15
55;16;13
57;17;14
56;18;13
55;17;14
54;17;13
53;17;13
52;16;13
54;18;14
54;17;13
56;18;13
57;20;13
58;20;13
57;18;11
53;14;8
54;15;9
54;16;10
56;18;14
56;19;14
57;20;15
57;19;15
58;20;16
57;20;15
57;20;15
58;20;15
58;20;14
58;21;14
57;20;13
57;20;13
56;19;12
57;19;13
57;19;13
56;18;13
55;16;14
56;17;14
55;17;14
55;18;13
55;19;13
55;18;13
54;18;12
52;18;12
53;18;13
57;19;15
57;19;14
57;20;14
55;18;12
56;17;14
58;20;15
57;20;14
54;17;13
53;16;13
55;18;14
54;17;14
54;17;13
54;18;12
54;17;12
55;16;14
56;17;14
56;19;14
55;18;14
55;17;13
55;18;14
57;19;15
58;19;16
57;19;16
54;16;15
54;17;15
53;16;14
55;17;13
56;18;14
55;17;13
55;17;13
55;16;13
55;17;12
55;16;15
56;17;15
57;18;15
56;19;13
53;19;13
54;19;14
54;17;14
55;16;14
56;18;13
54;17;13
51;16;12
52;15;13
52;15;14
52;17;11
51;16;13
51;17;13
50;15;11
49;14;13
50;16;13
50;17;11
49;15;11
52;17;12
52;18;12
51;17;11
51;16;13
55;18;12
55;18;12
54;18;12
56;18;14
56;18;14
56;18;14
54;17;14
55;18;13
53;16;11
54;18;12
54;17;14
54;17;14
55;19;15
56;19;15
51;16;11
51;15;11
52;14;11
52;15;12
53;16;12
55;18;13
53;17;12
54;17;13
53;16;12
54;16;14
54;17;14
55;18;14
54;19;14
55;20;14
54;19;13
53;18;13
53;19;13
54;19;13
54;19;13
51;18;12
52;18;13
50;17;11
50;16;11
50;17;11
50;17;11
50;16;11
50;16;11
50;17;11
51;17;12
51;16;12
52;16;13
51;16;12
52;17;13
53;18;13
53;19;14
52;18;14
52;17;12
53;18;13
52;17;12
50;16;13
50;16;12
50;16;12
50;15;12
49;16;11
49;15;12
48;15;12
49;15;12
45;13;9
45;13;9
41;13;9
40;12;8
41;13;9
40;12;9
37;11;9
36;11;9
35;11;9
35;11;9
35;10;8
31;8;7
31;9;8
30;7;6
31;8;7
29;8;7
29;8;7
30;9;7
30;9;7
27;7;6
27;7;6
27;7;6
26;7;6
26;7;6
26;7;6
26;7;6
25;6;6
25;6;6
23;6;5
24;6;5
24;6;5
22;6;4
23;6;5
22;6;4
23;6;6
22;6;5
22;5;5
22;5;5
22;5;5
22;5;4
23;6;5
22;5;5
22;5;4
21;5;3
23;6;5
23;6;5
24;7;5
23;6;5
23;6;5
24;7;6
24;7;6
23;6;5
23;6;5
24;7;5
24;7;5
24;7;5
23;6;5
23;5;5
23;5;5
23;5;4
22;6;5
22;6;5
23;6;5
23;6;5
21;5;4
21;5;4
22;5;4
23;6;5
23;6;5
22;6;5
21;5;4
22;5;5
21;5;4
22;6;5
22;5;5
22;6;5
22;6;5
21;6;5
21;6;5
21;6;5
22;6;5
20;5;4
21;6;5
21;6;5
21;5;4
21;6;5
20;5;4
21;5;5
21;5;5
22;6;5
22;6;5
23;6;5
22;6;5
23;7;6
22;6;5
22;6;5
22;5;5
23;6;5
22;6;5
21;5;4
23;6;5
22;5;3
23;7;5
24;7;6
23;5;4
23;6;5
23;6;5
24;7;6
24;7;6
24;6;5
24;6;5
24;6;5
25;6;6
26;8;6
26;7;6
26;7;6
27;7;6
26;7;5
26;7;5
28;7;5
29;8;7
28;7;6
30;8;6
30;8;6
30;8;7
30;8;7
30;9;8
30;9;7
33;9;8
33;9;8
34;10;8
34;9;7
34;9;7
39;11;9
41;12;10
41;12;10
42;12;10
42;12;10
45;14;10
46;14;10
46;14;10
47;15;10
48;16;10
48;16;10
50;16;10
51;17;11
51;18;12
51;17;11
52;17;11
52;17;11
52;17;11
53;18;12
53;18;12
56;20;14
55;18;12
56;19;13
56;19;13
56;19;13
