R;G;B
168;173;150
168;173;150
168;173;150
169;174;150
168;173;150
169;173;150
169;173;150
168;173;150
167;173;150
167;172;150
168;173;150
167;172;149
168;173;150
168;173;150
168;173;150
167;172;149
168;172;150
168;172;149
167;172;149
165;169;147
163;168;146
162;166;145
162;167;145
163;167;146
163;167;146
164;168;147
165;169;147
167;171;149
166;171;149
167;172;149
166;172;149
168;173;150
168;173;150
168;172;149
168;173;150
169;174;150
169;173;150
168;173;150
170;175;151
170;174;150
169;174;150
169;174;150
170;175;150
170;174;150
168;173;150
170;175;150
170;175;150
169;174;151
169;174;150
170;175;150
169;174;150
168;172;150
169;173;150
168;173;150
169;173;150
169;174;150
168;173;150
168;173;150
169;173;150
169;174;150
169;174;150
168;173;150
169;173;150
169;173;150
167;173;150
168;172;150
167;172;149
166;171;149
166;171;149
167;171;149
167;172;149
167;173;150
168;172;150
168;173;150
168;173;150
168;172;150
167;172;150
166;171;149
168;172;150
166;171;149
167;172;150
167;172;149
167;172;149
167;172;149
166;171;149
166;171;149
167;172;149
167;172;149
166;171;149
167;171;149
165;170;148
166;170;148
167;171;149
167;172;149
167;173;150
168;173;150
167;172;149
167;172;150
168;173;150
168;173;150
168;173;150
169;173;150
169;173;150
169;174;150
167;173;150
170;175;151
169;174;150
168;173;150
169;174;150
169;174;150
170;175;151
169;174;150
170;174;150
169;174;150
169;174;150
170;174;150
169;174;150
169;174;150
169;173;150
168;173;150
168;173;150
168;173;150
168;172;150
168;173;150
168;173;150
168;173;150
168;173;150
168;173;150
168;173;150
168;173;150
168;173;150
167;171;149
169;173;150
168;173;150
169;173;150
169;174;150
170;175;150
171;175;151
170;176;151
171;176;151
172;177;152
172;177;152
173;179;153
173;178;152
173;178;153
174;179;154
174;179;154
174;179;154
174;179;153
174;180;154
175;180;154
175;180;154
174;180;154
173;179;153
174;179;153
174;180;154
175;181;154
175;181;154
176;182;154
176;182;154
177;182;155
177;183;156
177;183;156
178;184;157
178;184;156
180;186;158
181;187;159
182;188;160
186;192;163
186;192;163
185;192;163
187;193;163
188;194;164
188;194;164
189;195;164
188;193;164
187;193;164
187;192;163
186;192;163
185;192;163
185;192;162
186;192;164
186;192;164
188;193;165
188;194;164
190;196;167
193;199;169
192;199;168
190;196;165
189;196;165
189;196;165
190;197;165
190;196;165
189;196;165
189;195;166
191;196;167
191;196;168
191;198;168
193;199;168
191;197;166
189;195;165
189;194;165
188;193;164
191;196;167
192;198;168
190;196;165
187;194;163
145;148;129
142;143;127
152;153;135
173;178;153
192;198;168
191;196;167
186;192;163
187;193;164
201;209;176
204;212;178
195;201;170
190;197;166
172;177;152
160;164;142
156;160;139
153;157;137
153;157;138
158;163;142
168;174;150
178;183;156
181;187;159
178;184;157
180;186;159
183;191;162
191;199;168
192;200;168
184;190;161
177;181;155
171;174;150
172;176;150
174;178;152
179;184;156
182;188;158
185;192;161
182;189;159
180;186;157
180;186;157
181;186;158
182;187;159
183;189;161
185;191;162
184;189;161
180;185;157
177;181;155
180;184;157
184;188;160
181;185;158
184;189;161
183;188;160
171;174;149
170;174;150
179;184;155
182;187;159
181;186;158
187;194;163
187;193;164
175;180;154
175;180;154
170;174;150
173;177;152
189;194;165
180;184;158
179;184;157
185;191;162
177;181;155
176;180;153
179;185;156
167;171;148
179;184;156
179;184;155
184;190;161
200;205;173
193;199;166
179;184;156
184;190;161
188;193;164
165;169;146
159;163;142
161;165;143
167;171;147
166;170;148
171;175;151
174;177;152
176;181;154
175;180;154
180;185;158
188;195;165
189;195;165
183;189;161
177;182;155
168;171;149
160;165;143
160;163;142
175;180;154
182;186;159
183;187;159
182;187;157
199;204;172
191;198;166
191;197;166
189;195;164
189;195;165
178;182;155
170;175;150
170;174;150
166;170;147
166;171;149
169;174;150
170;175;151
175;180;154
175;179;154
172;177;152
170;174;150
171;175;151
180;186;159
176;182;155
165;170;148
159;164;142
158;163;142
158;162;141
162;167;145
168;173;150
177;182;156
180;186;158
180;186;158
183;188;160
187;193;163
191;198;166
191;199;166
192;200;167
193;200;168
193;199;168
194;200;169
195;201;171
194;200;169
186;192;162
182;188;159
177;182;154
174;179;152
171;176;151
176;181;155
181;186;159
176;181;155
173;176;152
171;175;151
172;175;151
175;180;154
181;187;158
185;192;162
186;191;161
184;190;160
183;188;159
179;184;157
168;172;148
160;163;142
158;162;141
166;170;147
170;174;150
175;180;153
178;184;156
180;185;156
180;184;157
181;185;158
186;192;163
185;191;161
184;190;160
189;195;165
193;200;169
193;200;168
183;188;160
190;196;166
187;193;163
179;184;157
182;188;160
179;184;157
177;182;156
184;190;160
183;189;159
193;199;168
190;196;166
184;189;160
185;192;162
183;188;159
184;190;161
180;186;158
182;188;160
190;197;166
186;192;163
187;192;163
178;183;156
176;182;154
177;182;156
179;184;157
184;189;160
195;201;169
193;200;169
193;200;168
