R;G;B
150;100;48
151;100;50
150;100;49
150;100;49
150;100;50
150;100;50
150;100;49
150;100;50
150;100;50
150;100;50
151;100;50
150;100;49
150;100;50
150;100;49
150;100;50
150;100;49
150;100;49
150;100;49
151;100;50
151;100;50
151;100;50
150;100;49
150;100;50
150;100;49
150;100;50
151;100;50
151;100;50
150;100;50
150;100;49
150;100;49
150;100;49
150;100;50
150;100;49
150;100;49
151;100;50
150;100;49
150;100;50
150;100;50
150;100;49
151;100;50
150;100;50
150;100;49
151;100;50
150;100;50
150;100;49
150;100;50
150;100;49
151;100;50
150;100;50
151;100;50
150;100;50
150;100;50
150;100;50
150;100;49
151;101;50
151;100;50
151;100;50
150;100;49
150;100;50
151;100;50
151;100;50
151;100;50
150;100;49
150;100;49
150;100;50
150;100;49
150;100;49
150;100;49
150;100;49
150;100;50
150;100;50
150;100;50
151;100;50
150;100;49
151;100;50
150;100;49
150;100;50
150;100;49
150;100;50
150;100;50
150;100;50
150;100;49
150;100;49
151;100;50
151;100;50
150;100;49
150;100;50
150;100;49
150;100;50
150;100;49
151;100;50
150;100;50
150;100;49
151;100;50
151;100;50
150;100;49
150;100;49
150;100;49
151;100;50
150;100;50
150;100;50
150;100;49
150;100;49
150;100;49
151;100;50
150;100;49
150;100;50
150;100;49
151;100;50
151;101;50
150;100;50
150;100;50
150;100;49
150;100;50
150;100;49
150;100;49
150;100;50
150;100;50
151;100;50
150;100;49
150;100;49
150;100;50
151;100;50
150;100;49
150;100;49
150;100;49
150;100;50
150;100;48
151;100;50
150;100;50
150;100;49
150;100;50
150;100;49
150;100;50
150;100;50
150;100;50
151;100;50
150;100;49
150;100;50
150;100;50
150;100;49
151;100;50
151;100;50
151;100;50
150;100;50
150;100;49
150;100;49
150;100;50
150;100;49
150;100;49
150;100;49
151;100;50
150;100;49
151;100;50
151;100;50
150;100;49
150;100;49
150;99;49
150;100;50
150;100;49
150;100;48
150;100;49
150;100;50
150;100;49
150;100;50
150;100;49
151;100;50
151;100;50
150;100;50
150;100;49
150;100;49
150;100;49
150;100;50
151;100;50
150;100;49
150;101;50
150;100;49
150;100;50
150;100;49
150;100;49
150;100;50
151;100;50
151;100;50
150;100;49
150;100;50
150;100;50
150;100;49
150;100;49
150;100;49
150;100;49
150;100;49
150;100;49
150;100;49
150;100;50
150;100;50
150;100;49
150;100;50
151;100;50
150;100;50
150;100;49
151;100;50
151;100;50
150;100;49
150;100;49
150;100;49
150;100;50
150;100;49
150;100;50
150;100;50
150;100;50
151;100;50
150;100;49
150;100;49
150;100;50
150;99;48
150;100;49
150;100;50
150;99;48
150;100;49
151;100;50
150;100;49
150;100;49
150;100;49
150;100;49
151;100;50
150;100;49
151;100;50
150;100;49
150;100;49
150;100;49
150;100;49
150;99;48
151;100;50
150;99;48
150;100;49
150;100;49
150;100;50
150;100;50
150;100;49
151;100;50
150;100;49
151;100;50
151;100;50
151;100;50
150;100;49
150;100;49
150;100;49
150;100;49
150;100;49
150;100;50
150;100;49
150;100;49
151;100;50
150;100;49
150;100;48
153;101;50
154;102;50
155;103;50
156;104;50
157;105;51
158;105;51
158;105;51
158;105;51
161;107;51
164;109;52
167;110;54
167;111;53
168;112;54
167;110;53
167;111;54
166;110;53
166;110;52
166;110;52
167;111;53
168;111;52
171;113;54
172;114;55
175;117;55
177;118;56
177;117;56
180;119;57
183;121;58
184;122;58
185;123;58
184;122;58
182;121;57
181;121;58
179;120;57
177;118;56
176;116;55
178;118;56
182;121;56
188;125;58
191;127;58
193;129;59
193;129;60
191;128;59
192;128;61
189;125;60
186;124;58
183;122;56
181;120;56
182;120;56
183;122;57
186;124;59
185;123;58
186;124;59
179;118;55
174;114;53
177;118;55
180;118;57
178;117;55
179;119;55
182;120;56
193;128;60
180;119;56
173;115;54
171;113;53
176;117;56
180;119;56
189;124;58
186;123;57
181;120;56
177;117;54
179;119;55
182;120;57
184;121;57
185;122;58
186;123;59
186;123;58
186;124;59
181;121;56
179;119;55
178;118;56
176;116;55
175;115;55
176;116;54
177;117;55
178;118;55
178;119;56
176;117;55
176;116;54
178;119;57
176;117;56
177;117;54
179;119;57
179;119;57
173;114;54
170;112;53
170;113;52
174;115;54
178;117;56
180;119;57
179;117;56
177;117;55
173;116;54
173;114;55
175;115;56
179;118;57
182;120;57
